gameId,multiplier,timestamp
8883786,  1.89,  01:15T06:16:04
8883787,  8.42,  01:15T06:16:08
8883788,  3.23,  01:15T06:16:40
8883789,  1.05,  01:15T06:16:52
8883790,  1.50,  01:15T06:17:11
8883791,  2.23,  01:15T06:17:36
8883792,  2.83,  01:15T06:18:05
8883793,  1.13,  01:15T06:18:19
8883793,  1.13,  01:15T06:18:20
8883793,  1.13,  01:15T06:18:22
8883793,  1.13,  01:15T06:18:29
8883793,  1.13,  01:15T06:18:30
8883794,  1.06,  01:15T06:18:32
8883795,  1.06,  01:15T06:19:06
8883795,  1.06,  01:15T06:19:36
